competition,event,race,code,date,position,nationality,time,crew
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 2,23/06/2018,5,AUT,07:42.1,"MANOUTSCHEHRI, Anja"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 2,23/06/2018,6,GER1,07:56.2,"THOMA, Katrin"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H1,22/06/2018,1,NZL,06:16.2,"STOREY, John; HARRIS, Christopher"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H1,22/06/2018,2,ITA1,06:17.0,"BATTISTI, Romano; VENIER, Simone"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H1,22/06/2018,3,ARG,06:23.2,"ROSSO, Cristian; DIAZ, Agustin"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H1,22/06/2018,4,SRB,06:23.6,"DJERIC, Igor; MARJANOVIC, Marko"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H1,22/06/2018,5,NOR,06:29.8,"OEYASAETER, Erling; NILSSON, Jorgen"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H2,22/06/2018,1,GER,06:14.7,"PIONTEK, Timo; HARTIG, Lars"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H2,22/06/2018,2,NED,06:18.9,"KEIJSER, Amos; VAN SPRANG, Nicolas"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H2,22/06/2018,3,POL,06:22.4,"ZIETARSKI, Miroslaw; BISKUP, Mateusz"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H2,22/06/2018,4,CHN,06:28.1,"YANG, Zhenyu; MA, Yule"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H3,22/06/2018,1,GBR,06:13.8,"GROOM, Angus; BEAUMONT, Jack"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H3,22/06/2018,2,ITA2,06:16.4,"FIUME, Emanuele; CATTANEO, Andrea"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H3,22/06/2018,3,FRA,06:16.4,"ANDRODIAS, Matthieu; BOUCHERON, Hugo"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Heat,H3,22/06/2018,4,SUI,06:16.5,"STAHLBERG, Nico; ROEOESLI, Roman"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FA,24/06/2018,1,GBR,06:11.2,"GROOM, Angus; BEAUMONT, Jack"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FA,24/06/2018,2,GER,06:13.7,"PIONTEK, Timo; HARTIG, Lars"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FA,24/06/2018,3,SUI,06:14.5,"STAHLBERG, Nico; ROEOESLI, Roman"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FA,24/06/2018,4,NZL,06:15.0,"STOREY, John; HARRIS, Christopher"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FA,24/06/2018,5,FRA,06:17.9,"ANDRODIAS, Matthieu; BOUCHERON, Hugo"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FA,24/06/2018,6,ITA1,06:22.8,"BATTISTI, Romano; VENIER, Simone"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FB,24/06/2018,1,NED,06:20.7,"KEIJSER, Amos; VAN SPRANG, Nicolas"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FB,24/06/2018,2,POL,06:21.4,"ZIETARSKI, Miroslaw; BISKUP, Mateusz"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FB,24/06/2018,3,ITA2,06:22.6,"FIUME, Emanuele; CATTANEO, Andrea"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FB,24/06/2018,4,SRB,06:25.4,"DJERIC, Igor; MARJANOVIC, Marko"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FB,24/06/2018,5,ARG,06:30.6,"ROSSO, Cristian; DIAZ, Agustin"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Final,FB,24/06/2018,6,CHN,06:34.8,"YANG, Zhenyu; MA, Yule"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R1,22/06/2018,1,SUI,06:24.7,"STAHLBERG, Nico; ROEOESLI, Roman"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R1,22/06/2018,2,SRB,06:26.1,"DJERIC, Igor; MARJANOVIC, Marko"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R1,22/06/2018,3,CHN,06:34.4,"YANG, Zhenyu; MA, Yule"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R1,22/06/2018,4,NOR,06:41.7,"OEYASAETER, Erling; NILSSON, Jorgen"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,1,GBR,06:11.0,"GROOM, Angus; BEAUMONT, Jack"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,2,FRA,06:11.8,"ANDRODIAS, Matthieu; BOUCHERON, Hugo"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,3,NZL,06:13.3,"STOREY, John; HARRIS, Christopher"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,4,NED,06:16.0,"KEIJSER, Amos; VAN SPRANG, Nicolas"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,5,SRB,06:30.3,"DJERIC, Igor; MARJANOVIC, Marko"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,6,CHN,06:30.7,"YANG, Zhenyu; MA, Yule"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,1,SUI,06:14.3,"STAHLBERG, Nico; ROEOESLI, Roman"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,2,GER,06:14.7,"PIONTEK, Timo; HARTIG, Lars"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,3,ITA1,06:14.9,"BATTISTI, Romano; VENIER, Simone"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,4,POL,06:17.0,"ZIETARSKI, Miroslaw; BISKUP, Mateusz"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,5,ITA2,06:28.5,"FIUME, Emanuele; CATTANEO, Andrea"
2018 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,6,ARG,06:36.8,"ROSSO, Cristian; DIAZ, Agustin"
2018 World Rowing Cup II,M8+,Men's Eight - Heat,H1,22/06/2018,1,NED1,05:31.4,"VAN DER WANT, Vincent; ROELL, Boudewijn; HURKMANS, Maarten; VAN DORP, Simon; VERSLUIS, Mechiel; KNAB, Ruben; VAN DEN HERIK, Lex; ROBBERS, Freek; VAN ENGELENBURG, Diederik"
2018 World Rowing Cup II,M8+,Men's Eight - Heat,H1,22/06/2018,2,GBR,05:32.1,"RANSLEY, Tom; GEORGE, Thomas; JEFFERY, Tom; WYNNE-GRIFFITH, Oliver; SBIHI, Mohamed; SINCLAIR, Alan; TARRANT, Matthew; SATCH, William; FIELDMAN, Henry"
2018 World Rowing Cup II,M8+,Men's Eight - Heat,H1,22/06/2018,3,ITA,05:34.6,"GABBIA, Cesare; LIUZZI, Emanuele; PARLATO, Luca; PERINO, Paolo; ROSETTI, Bruno; PAONESSA, Mario; MUMOLO, Davide; PIETRA CAPRINA, Leonardo; D'ANIELLO, Enrico"
2018 World Rowing Cup II,M8+,Men's Eight - Heat,H1,22/06/2018,4,NED2,05:41.3,"MANTEL, Michiel; LANGEN, Harold; VAN DER BIJ, Jan; VAN DE KERKHOF, Jacob; DE GRAAF, Sander; KLAASSENS, Vincent; OYEN, Michiel; RITSEMA, Nelson; NOORT, Ae-Ri"
2018 World Rowing Cup II,M8+,Men's Eight - Heat,H2,22/06/2018,1,AUS,05:29.8,"DONALD, Liam; WIDDICOMBE, Angus; MOORE, Angus; KEENAN, Simon; PURNELL, Nicholas; MASTERS, Timothy; BOOTH, Joshua; BLACK, Robert; BRODIE, Kendall"
2018 World Rowing Cup II,M8+,Men's Eight - Heat,H2,22/06/2018,2,GER,05:30.1,"WEISSENFELD, Johannes; WIMBERGER, Felix; PLANER, Maximilian; JOHANNESEN, Torben; SCHNEIDER, Jakob; JAKSCHIK, Malte; SCHMIDT, Richard; OCIK, Hannes; SAUER, Martin"
2018 World Rowing Cup II,M8+,Men's Eight - Heat,H2,22/06/2018,3,POL,05:39.1,"POSYLAJKA, Lucasz; DOMINICZAK, Jakub; SOBIERAJ, Marcin; MODRZYNSKI, Bartosz; BRZEZINSKI, Marcin; FUCHS, Robert; SCHODOWSKI, Zbigniew; WILANGOWSKI, Mateusz; TROJANOWSKI, Daniel"
2018 World Rowing Cup II,M8+,Men's Eight - Heat,H2,22/06/2018,4,NZL,05:40.1,"WILSON, Phillip; WEBSTER, Cameron; JONES, Stephen; WRIGHT, Jonathan ; GRAINGER, Isaac; KIRKHAM, Shaun; ALLEN, Anthony; ROBERTSON, Brook; SHEPHERD, Caleb"
2018 World Rowing Cup II,M8+,Men's Eight - Final,FA,24/06/2018,1,GER,05:26.9,"WEISSENFELD, Johannes; WIMBERGER, Felix; PLANER, Maximilian; JOHANNESEN, Torben; SCHNEIDER, Jakob; JAKSCHIK, Malte; SCHMIDT, Richard; OCIK, Hannes; SAUER, Martin"
2018 World Rowing Cup II,M8+,Men's Eight - Final,FA,24/06/2018,2,GBR,05:28.2,"RANSLEY, Tom; GEORGE, Thomas; JEFFERY, Tom; WYNNE-GRIFFITH, Oliver; SBIHI, Mohamed; SINCLAIR, Alan; TARRANT, Matthew; SATCH, William; FIELDMAN, Henry"
2018 World Rowing Cup II,M8+,Men's Eight - Final,FA,24/06/2018,3,NED1,05:29.4,"VAN DER WANT, Vincent; ROELL, Boudewijn; HURKMANS, Maarten; VAN DORP, Simon; VERSLUIS, Mechiel; KNAB, Ruben; VAN DEN HERIK, Lex; ROBBERS, Freek; VAN ENGELENBURG, Diederik"
2018 World Rowing Cup II,M8+,Men's Eight - Final,FA,24/06/2018,4,NED2,05:29.7,"MANTEL, Michiel; LANGEN, Harold; VAN DER BIJ, Jan; VAN DE KERKHOF, Jacob; DE GRAAF, Sander; KLAASSENS, Vincent; OYEN, Michiel; RITSEMA, Nelson; NOORT, Ae-Ri"
2018 World Rowing Cup II,M8+,Men's Eight - Final,FA,24/06/2018,5,AUS,05:32.6,"DONALD, Liam; WIDDICOMBE, Angus; MOORE, Angus; KEENAN, Simon; PURNELL, Nicholas; MASTERS, Timothy; BOOTH, Joshua; BLACK, Robert; BRODIE, Kendall"
2018 World Rowing Cup II,M8+,Men's Eight - Final,FA,24/06/2018,6,ITA,05:32.7,"GABBIA, Cesare; LIUZZI, Emanuele; PARLATO, Luca; PERINO, Paolo; ROSETTI, Bruno; PAONESSA, Mario; MUMOLO, Davide; PIETRA CAPRINA, Leonardo; D'ANIELLO, Enrico"
2018 World Rowing Cup II,M8+,Men's Eight - Final,FB,24/06/2018,1,NZL,05:36.1,"WILSON, Phillip; WEBSTER, Cameron; JONES, Stephen; WRIGHT, Jonathan ; GRAINGER, Isaac; KIRKHAM, Shaun; ALLEN, Anthony; ROBERTSON, Brook; SHEPHERD, Caleb"
2018 World Rowing Cup II,M8+,Men's Eight - Final,FB,24/06/2018,2,POL,05:40.9,"POSYLAJKA, Lucasz; DOMINICZAK, Jakub; SOBIERAJ, Marcin; MODRZYNSKI, Bartosz; BRZEZINSKI, Marcin; FUCHS, Robert; SCHODOWSKI, Zbigniew; WILANGOWSKI, Mateusz; TROJANOWSKI, Daniel"
2018 World Rowing Cup II,M8+,Men's Eight - Repechage,R1,23/06/2018,1,GBR,05:29.8,"RANSLEY, Tom; GEORGE, Thomas; JEFFERY, Tom; WYNNE-GRIFFITH, Oliver; SBIHI, Mohamed; SINCLAIR, Alan; TARRANT, Matthew; SATCH, William; FIELDMAN, Henry"
2018 World Rowing Cup II,M8+,Men's Eight - Repechage,R1,23/06/2018,2,GER,05:31.7,"WEISSENFELD, Johannes; WIMBERGER, Felix; PLANER, Maximilian; JOHANNESEN, Torben; SCHNEIDER, Jakob; JAKSCHIK, Malte; SCHMIDT, Richard; OCIK, Hannes; SAUER, Martin"
2018 World Rowing Cup II,M8+,Men's Eight - Repechage,R1,23/06/2018,3,ITA,05:32.3,"GABBIA, Cesare; LIUZZI, Emanuele; PARLATO, Luca; PERINO, Paolo; ROSETTI, Bruno; PAONESSA, Mario; MUMOLO, Davide; PIETRA CAPRINA, Leonardo; D'ANIELLO, Enrico"
2018 World Rowing Cup II,M8+,Men's Eight - Repechage,R1,23/06/2018,4,NED2,05:33.1,"MANTEL, Michiel; LANGEN, Harold; VAN DER BIJ, Jan; VAN DE KERKHOF, Jacob; DE GRAAF, Sander; KLAASSENS, Vincent; OYEN, Michiel; RITSEMA, Nelson; NOORT, Ae-Ri"
2018 World Rowing Cup II,M8+,Men's Eight - Repechage,R1,23/06/2018,5,NZL,05:33.1,"WILSON, Phillip; WEBSTER, Cameron; JONES, Stephen; WRIGHT, Jonathan ; GRAINGER, Isaac; KIRKHAM, Shaun; ALLEN, Anthony; ROBERTSON, Brook; SHEPHERD, Caleb"
2018 World Rowing Cup II,M8+,Men's Eight - Repechage,R1,23/06/2018,6,POL,05:37.9,"POSYLAJKA, Lucasz; DOMINICZAK, Jakub; SOBIERAJ, Marcin; MODRZYNSKI, Bartosz; BRZEZINSKI, Marcin; FUCHS, Robert; SCHODOWSKI, Zbigniew; WILANGOWSKI, Mateusz; TROJANOWSKI, Daniel"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H1,22/06/2018,1,ROU,05:56.0,"TIGANESCU, Mihaita-Vasile; PASCARI, Cosmin; BERARIU, Stefan-Constantin; HUC, Ciprian"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H1,22/06/2018,2,GER,05:56.9,"BRUMMEL, Felix; MERGET, Nico; KLUGE, Peter; DRAHOTTA, Felix"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H1,22/06/2018,3,ITA,05:57.7,"DI COSTANZO, Marco; ABAGNALE, Giovanni; CASTALDO, Matteo; MONTRONE, Domenico"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H1,22/06/2018,4,AUT,05:57.8,"WALK, Florian; KOHLMAYR, Maximilian; QUERFELD, Rudolph; HOHENSASSER, Gabriel"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H1,22/06/2018,5,CHN1,06:07.5,"LIU, Zhiyu; CAI, Pengpeng; NI, Xulin; WANG, Linqing"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H2,22/06/2018,1,NED,06:00.7,"VAN DEN ENDE, Bjorn; HENDRIKS, Kaj; TISSEN, Jasper; WIETEN, Tone"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H2,22/06/2018,2,BLR,06:00.7,"LIALIN, Vadzim; VYBERANETS, Dzmitry; PASHEVICH, Ihar; SHARLAP, Mikalai"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H2,22/06/2018,3,GBR1,06:02.0,"GLENISTER, Harry; MCBRIERTY, Callum; HELLEN, Morgan; ROSSITER, George"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H2,22/06/2018,4,FRA,06:03.9,"DEMEY, Benoit; JONVILLE, Edouard; VEDRINELLE, Sean; BRUNET, Benoit"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H3,22/06/2018,1,AUS,05:54.8,"HICKS, Joshua; TURRIN, Spencer; HARGREAVES, Jack; HILL, Alexander"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H3,22/06/2018,2,POL,05:58.5,"JUSZCZAK, Piotr; ABLEWSKI, Ryszard; BURDA, Mikolaj; SZPAKOWSKI, Michal"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H3,22/06/2018,3,GBR2,05:59.5,"JOHNSTON, James; NEILL, Adam; DAWSON, Jacob; FORD, Thomas"
2018 World Rowing Cup II,M4-,Men's Four - Heat,H3,22/06/2018,4,CHN2,06:14.3,"CHENG, Xunman; LIN, Yanan; CHEN, Xianfeng; YI, Xudi; ZHANG, Songhu"
2018 World Rowing Cup II,M4-,Men's Four - Final,FA,24/06/2018,1,AUS,05:50.7,"HICKS, Joshua; TURRIN, Spencer; HARGREAVES, Jack; HILL, Alexander"
2018 World Rowing Cup II,M4-,Men's Four - Final,FA,24/06/2018,2,ROU,05:53.8,"TIGANESCU, Mihaita-Vasile; PASCARI, Cosmin; BERARIU, Stefan-Constantin; HUC, Ciprian"
2018 World Rowing Cup II,M4-,Men's Four - Final,FA,24/06/2018,3,GER,05:56.6,"BRUMMEL, Felix; MERGET, Nico; KLUGE, Peter; DRAHOTTA, Felix"
2018 World Rowing Cup II,M4-,Men's Four - Final,FA,24/06/2018,4,GBR2,05:58.0,"JOHNSTON, James; NEILL, Adam; DAWSON, Jacob; FORD, Thomas"
2018 World Rowing Cup II,M4-,Men's Four - Final,FA,24/06/2018,5,GBR1,05:58.8,"GLENISTER, Harry; MCBRIERTY, Callum; HELLEN, Morgan; ROSSITER, George"
2018 World Rowing Cup II,M4-,Men's Four - Final,FA,24/06/2018,6,POL,06:08.4,"JUSZCZAK, Piotr; ABLEWSKI, Ryszard; BURDA, Mikolaj; SZPAKOWSKI, Michal"
2018 World Rowing Cup II,M4-,Men's Four - Final,FB,24/06/2018,1,BLR,05:59.9,"LIALIN, Vadzim; VYBERANETS, Dzmitry; PASHEVICH, Ihar; SHARLAP, Mikalai"
2018 World Rowing Cup II,M4-,Men's Four - Final,FB,24/06/2018,2,AUT,06:00.1,"WALK, Florian; KOHLMAYR, Maximilian; QUERFELD, Rudolph; HOHENSASSER, Gabriel"
2018 World Rowing Cup II,M4-,Men's Four - Final,FB,24/06/2018,3,ITA,06:02.6,"DI COSTANZO, Marco; ABAGNALE, Giovanni; CASTALDO, Matteo; MONTRONE, Domenico"
2018 World Rowing Cup II,M4-,Men's Four - Final,FB,24/06/2018,4,FRA,06:02.8,"DEMEY, Benoit; JONVILLE, Edouard; VEDRINELLE, Sean; BRUNET, Benoit"
2018 World Rowing Cup II,M4-,Men's Four - Final,FB,24/06/2018,5,NED,06:08.7,"HENDRIKS, Kaj; WIETEN, Tone; TISSEN, Jasper; VAN DEN ENDE, Bjorn"
2018 World Rowing Cup II,M4-,Men's Four - Final,FB,24/06/2018,6,CHN2,06:13.9,"CHENG, Xunman; CHEN, Xianfeng; YI, Xudi; ZHANG, Songhu"
2018 World Rowing Cup II,M4-,Men's Four - Repechage,R1,22/06/2018,1,FRA,06:11.6,"DEMEY, Benoit; JONVILLE, Edouard; VEDRINELLE, Sean; BRUNET, Benoit"
2018 World Rowing Cup II,M4-,Men's Four - Repechage,R1,22/06/2018,2,CHN2,06:15.1,"CHENG, Xunman; CHEN, Xianfeng; YI, Xudi; ZHANG, Songhu"
2018 World Rowing Cup II,M4-,Men's Four - Repechage,R1,22/06/2018,3,AUT,06:18.4,"WALK, Florian; KOHLMAYR, Maximilian; QUERFELD, Rudolph; HOHENSASSER, Gabriel"
2018 World Rowing Cup II,M4-,Men's Four - Repechage,R1,22/06/2018,4,CHN1,06:21.6,"LIU, Zhiyu; CAI, Pengpeng; NI, Xulin; WANG, Linqing"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,23/06/2018,1,ROU,05:55.6,"TIGANESCU, Mihaita-Vasile; PASCARI, Cosmin; BERARIU, Stefan-Constantin; HUC, Ciprian"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,23/06/2018,2,POL,05:56.9,"JUSZCZAK, Piotr; ABLEWSKI, Ryszard; BURDA, Mikolaj; SZPAKOWSKI, Michal"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,23/06/2018,3,GBR1,05:58.1,"GLENISTER, Harry; MCBRIERTY, Callum; HELLEN, Morgan; ROSSITER, George"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,23/06/2018,4,FRA,05:58.6,"DEMEY, Benoit; JONVILLE, Edouard; VEDRINELLE, Sean; BRUNET, Benoit"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,23/06/2018,5,NED,06:05.1,"VAN DEN ENDE, Bjorn; HENDRIKS, Kaj; TISSEN, Jasper; WIETEN, Tone"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,23/06/2018,6,AUT,06:05.2,"WALK, Florian; KOHLMAYR, Maximilian; QUERFELD, Rudolph; HOHENSASSER, Gabriel"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,23/06/2018,1,AUS,05:52.6,"HICKS, Joshua; TURRIN, Spencer; HARGREAVES, Jack; HILL, Alexander"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,23/06/2018,2,GER,05:55.2,"BRUMMEL, Felix; MERGET, Nico; KLUGE, Peter; DRAHOTTA, Felix"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,23/06/2018,3,GBR2,05:55.9,"JOHNSTON, James; NEILL, Adam; DAWSON, Jacob; FORD, Thomas"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,23/06/2018,4,ITA,05:58.7,"DI COSTANZO, Marco; ABAGNALE, Giovanni; CASTALDO, Matteo; MONTRONE, Domenico"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,23/06/2018,5,BLR,05:58.7,"LIALIN, Vadzim; VYBERANETS, Dzmitry; PASHEVICH, Ihar; SHARLAP, Mikalai"
2018 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,23/06/2018,6,CHN2,06:20.7,"CHENG, Xunman; CHEN, Xianfeng; YI, Xudi; ZHANG, Songhu"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H1,22/06/2018,1,CRO1,06:17.6,"SINKOVIC, Martin; SINKOVIC, Valent"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H1,22/06/2018,2,GBR1,06:25.3,"RUDKIN, James; BUGAJSKI, Josh"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H1,22/06/2018,3,UKR2,06:30.4,"PIVEN, Roman; KALASHNYK, Mykola"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H1,22/06/2018,4,FRA2,06:32.8,"TURLAN, Thibaud; TURLAN, Guillaume"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H1,22/06/2018,5,NED,06:38.0,"STEENMAN, Mitchel; WULLINGS, Bo"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H1,22/06/2018,6,AUT1,06:42.2,"SEIFRIEDBERGER, Christoph; QUERFELD, Ferdinand"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H2,22/06/2018,1,CZE,06:18.9,"HELESIC, Lukas; PODRAZIL, Jakub"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H2,22/06/2018,2,BLR,06:32.8,"FURMAN, Dzimitry; VALADZKO, Siarhei"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H2,22/06/2018,3,ARG,06:35.1,"MURILLO, Rodrigo; ESTERAS, Francisco"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H2,22/06/2018,4,NZL,06:36.1,"ROGERSON, Charles; O'LEARY, Martyn"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H2,22/06/2018,5,HUN,07:00.3,"JUHASZ, Adrian; SIMON JR, Bela"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H3,22/06/2018,1,GBR2,06:30.1,"ROSSITER, Matthew; COOK, Oliver"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H3,22/06/2018,2,UKR1,06:42.8,"KHOLYAZNYKOV, Anton; MOROZ, Artem"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H3,22/06/2018,3,CHN,06:43.8,"LI, Xiaoxiong; ZHAO, Jingbin"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H3,22/06/2018,4,BRA,06:44.9,"VELA MAGGI, Xavier; GIARETTON, Willian"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H3,22/06/2018,5,ITA1,06:52.8,"MONFRECOLA, Salvatore; ABBAGNALE, Vincenzo"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H4,22/06/2018,1,FRA1,06:21.4,"ONFROY, Valentin; ONFROY, Theophile"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H4,22/06/2018,2,GER1,06:28.7,"SCHROETER, Paul; FOLLERT, Laurits"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H4,22/06/2018,3,CRO2,06:37.2,"PITON, Ivan; UDOVICIC, Karlo"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H4,22/06/2018,4,SUI,06:51.4,"JACQUOT, Paul; GYR, Mario"
2018 World Rowing Cup II,M2-,Men's Pair - Heat,H4,22/06/2018,5,AUT2,06:54.6,"LAGGNER, Patrick; HOLLER, Mattijs"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FA,24/06/2018,1,CZE,06:27.6,"HELESIC, Lukas; PODRAZIL, Jakub"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FA,24/06/2018,2,CRO1,06:28.4,"SINKOVIC, Martin; SINKOVIC, Valent"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FA,24/06/2018,3,FRA1,06:29.4,"ONFROY, Valentin; ONFROY, Theophile"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FA,24/06/2018,4,BLR,06:38.9,"FURMAN, Dzimitry; VALADZKO, Siarhei"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FA,24/06/2018,5,GBR2,06:42.8,"ROSSITER, Matthew; COOK, Oliver"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FA,24/06/2018,6,HUN,06:44.2,"JUHASZ, Adrian; SIMON JR, Bela"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FB,24/06/2018,1,GER1,06:37.5,"SCHROETER, Paul; FOLLERT, Laurits"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FB,24/06/2018,2,AUT1,06:40.2,"SEIFRIEDBERGER, Christoph; QUERFELD, Ferdinand"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FB,24/06/2018,3,UKR2,06:43.5,"PIVEN, Roman; KALASHNYK, Mykola"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FB,24/06/2018,4,BRA,06:43.8,"VELA MAGGI, Xavier; GIARETTON, Willian"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FB,24/06/2018,5,NED,06:44.7,"STEENMAN, Mitchel; WULLINGS, Bo"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FB,24/06/2018,6,FRA2,06:47.1,"TURLAN, Thibaud; TURLAN, Guillaume"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FC,23/06/2018,1,NZL,06:33.9,"ROGERSON, Charles; O'LEARY, Martyn"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FC,23/06/2018,2,ITA1,06:35.0,"MONFRECOLA, Salvatore; ABBAGNALE, Vincenzo"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FC,23/06/2018,3,ARG,06:36.4,"MURILLO, Rodrigo; ESTERAS, Francisco"
2018 World Rowing Cup II,M2-,Men's Pair - Final,FC,23/06/2018,4,SUI,06:42.1,"JACQUOT, Paul; GYR, Mario"
